solution_name	content_name	content_type
Azure Activity	Azure Network Security Group NSG Administrative Operations	HuntingQuery
Azure Activity	Creation of an anomalous number of resources	HuntingQuery
Azure Activity	Suspicious granting of permissions to an account	AnalyticsRule
Azure Activity	Microsoft Sentinel Workbooks Administrative Operations	HuntingQuery
Azure Activity	Azure Machine Learning Write Operations	HuntingQuery
Azure Activity	Microsoft Entra ID Hybrid Health AD FS New Server	AnalyticsRule
Azure Activity	Subscription moved to another tenant	AnalyticsRule
Azure Activity	New CloudShell User	AnalyticsRule
Azure Activity	AzureActivity Administration From VPS Providers	HuntingQuery
Azure Activity	Suspicious Resource deployment	AnalyticsRule
Azure Activity	Suspicious number of resource creation or deployment activities	AnalyticsRule
Azure Activity	Azure Service Health Workbook	Workbook
Azure Activity	Microsoft Sentinel Analytics Rules Administrative Operations	HuntingQuery
Azure Activity	Common deployed resources	HuntingQuery
Azure Activity	Azure Activity	DataConnector
Azure Activity	Microsoft Sentinel Connectors Administrative Operations	HuntingQuery
Azure Activity	NRT Creation of expensive computes in Azure	AnalyticsRule
Azure Activity	Azure VM Run Command executed from Azure IP address	HuntingQuery
Azure Activity	Anomalous Azure Operation Hunting Model	HuntingQuery
Azure Activity	Azure Virtual Network Subnets Administrative Operations	HuntingQuery
Azure Activity	Granting permissions to account	HuntingQuery
Azure Activity	NRT Microsoft Entra ID Hybrid Health AD FS New Server	AnalyticsRule
Azure Activity	Rare Custom Script Extension	HuntingQuery
Azure Activity	Azure Machine Learning Write Operations	AnalyticsRule
Azure Activity	Mass Cloud resource deletions Time Series Anomaly	AnalyticsRule
Azure Activity	Microsoft Entra ID Hybrid Health AD FS Suspicious Application	AnalyticsRule
Azure Activity	Rare subscription-level operations in Azure	AnalyticsRule
Azure Activity	Azure storage key enumeration	HuntingQuery
Azure Activity	Creation of expensive computes in Azure	AnalyticsRule
Azure Activity	Port opened for an Azure Resource	HuntingQuery
Azure Activity	Azure Activity	Workbook
Azure Activity	Microsoft Entra ID Hybrid Health AD FS Service Delete	AnalyticsRule
Azure Firewall	Uncommon Port for Organization	HuntingQuery
Azure Firewall	Medium severity malicious activity detected	AnalyticsRule
Azure Firewall	Elevation of Privilege attempt detected	AnalyticsRule
Azure Firewall	Several deny actions registered	AnalyticsRule
Azure Firewall	Port Sweep	AnalyticsRule
Azure Firewall	AzureFirewall-BlockIP-addToIPGroup	Playbook
Azure Firewall	First Time Source IP to Destination	HuntingQuery
Azure Firewall	DDoS attack detected	AnalyticsRule
Azure Firewall	Azure Firewall	DataConnector
Azure Firewall	Abnormal Deny Rate for Source IP	AnalyticsRule
Azure Firewall	Port Scan	AnalyticsRule
Azure Firewall	AzureFirewall-AddIPtoTIAllowList	Playbook
Azure Firewall	Multiple Sources Affected by the Same TI Destination	AnalyticsRule
Azure Firewall	Source IP Abnormally Connects to Multiple Destinations	HuntingQuery
Azure Firewall	Uncommon Port to IP	HuntingQuery
Azure Firewall	AzureFirewall-BlockIP-addNewRule	Playbook
Azure Firewall	AzureFirewallConnector	LogicAppsCustomConnector
Azure Firewall	High severity malicious activity detected	AnalyticsRule
Azure Firewall	Azure Firewall	Workbook
Azure Firewall	Azure Firewall Structured Logs	Workbook
Azure Firewall	Abnormal Port to Protocol	AnalyticsRule
Azure Firewall	Web Application attack detected	AnalyticsRule
Azure Firewall	First Time Source IP to Destination Using Port	HuntingQuery
Azure Key Vault	Azure Key Vault access TimeSeries anomaly	AnalyticsRule
Azure Key Vault	Azure Key Vault	DataConnector
Azure Key Vault	NRT Sensitive Azure Key Vault operations	AnalyticsRule
Azure Key Vault	Mass secret retrieval from Azure Key Vault	AnalyticsRule
Azure Key Vault	Sensitive Azure Key Vault operations	AnalyticsRule
Azure Key Vault	Azure Key Vault Security	Workbook
Azure Network Security Groups	Network Security Groups	DataConnector
Azure Storage	Azure Storage Account	DataConnector
Azure Web Application Firewall	A potentially malicious web request was executed against a web server	AnalyticsRule
Azure Web Application Firewall	AFD WAF - Path Traversal Attack	AnalyticsRule
Azure Web Application Firewall	App Gateway WAF - XSS Detection	AnalyticsRule
Azure Web Application Firewall	Microsoft Web Application Firewall (WAF) - Azure WAF	Workbook
Azure Web Application Firewall	Microsoft Web Application Firewall (WAF) - gateway access events	Workbook
Azure Web Application Firewall	Microsoft Web Application Firewall (WAF) - overview	Workbook
Azure Web Application Firewall	Azure Web Application Firewall (WAF)	DataConnector
